created_at,text,quote_count,reply_count,retweet_count,favorite_count,positive_sentiment
2020-07-02,"@SamTalksTesla @tlowdon @daniellevitt22 Tesla, as a side project, is building RNA microfactories for CureVac &amp; possibly others",169,179,305,1941,0.0033747898414731026
2020-07-01,@mojosusan @GovStitt @Tesla I love Texas! Starship production complex is in Boca Chica &amp; SpaceX engine development… https://t.co/qR4QbbT87X,6,91,86,1715,0.9402934312820435
2020-07-01,"@GovStitt @Tesla Wow, I’ve never seen this level of support! Out of respect, seems like I should at least visit.",119,590,504,12544,0.005903652869164944
2020-07-01,Tesla Impact Report (repost). We do everything humanly possible to source materials &amp; produce sustainable energy ca… https://t.co/Ocymz4JM7D,208,1750,2750,28216,0.11634194850921631
2020-06-30,RT @teslaownersSV: The tesla supercharger provides an ecosystem and network of amazing travel and shopping opportunities. I plan a lot of t…,0,0,0,0,0.7263814210891724
2020-06-29,@Garrett_Watts @_TomCross_ @Tesla @Petersen_Museum Cybertruck does feel like cgi irl,11,119,80,3000,0.009006720967590809
2020-06-28,"Btw, Tesla actually receives *least* subsidies of any automaker in US. Federal tax credit applies to other automake… https://t.co/elFfFU35MD",89,798,991,17802,0.20072618126869202
2020-06-28,"RT @_TomCross_: Cybertruck inside Petersen Automotive Museum.
#tesla #Cybertruck https://t.co/2XaZoM40Ve",0,0,0,0,0.0018264984246343374
2020-06-26,Only a matter of time before someone steals a Tesla while playing GTA on a Tesla,2031,3794,32874,368830,0.0041291736997663975
2020-06-25,@lulusdave @Tesla Glad you’re ok,8,43,43,1803,0.9412912726402283
2020-06-25,RT @GerberKawasaki: First thoughts driving my new Tesla model Y. Review and discussion of what I learned at Tesla today and outlook for the…,0,0,0,0,0.11831705272197723
2020-06-25,@blue_bnd @TomAbbotDavies1 @Tesla @thirdrowtesla @teslaownersSV @TeslaPodcast @TeslaOwnersWW @TeslaOwnersUK @Model3Owners Looks pretty cool,29,399,267,11649,0.6247905492782593
2020-06-25,Special thanks to Tesla trucking &amp; rail partners for figuratively &amp; literally going the extra mile,30,434,619,32504,0.8520235419273376
2020-06-25,Apologies to Tesla customers for shifting delivery dates. It’s a crazy world out there!,411,1901,2179,84132,0.22632409632205963
2020-06-25,"RT @cleantechnica: Wall Street Journal: Tesla Model Y Offers “Fierce, Velvety” Driving Characteristics https://t.co/dGY24gCVLz",0,0,0,0,0.019287370145320892
2020-06-22,Tentative date for Tesla Shareholder Meeting &amp; Battery Day is Sept 15. Will include tour of cell production system.,293,1661,2122,33590,0.33302947878837585
2020-06-22,Reminder that Tesla Full Self-Driving (FSD) price goes up by $1k on July 1st,415,2697,2425,68929,0.029878268018364906
2020-06-22,Enabling basic Tesla Autopilot via Tesla in-app purchase is reduced to $2k until July 1,183,1205,1393,37863,0.04694068059325218
2020-06-21,"Tesla Bioweapon Defense Mode
https://t.co/48s5D3ZQO0",370,1091,2386,24488,0.0022024819627404213
2020-06-21,RT @cleantechnica: Exclusive Pro Photos: Tesla Cybertruck At The Petersen Auto Museum https://t.co/3ixBOsRTst,0,0,0,0,0.031132135540246964
2020-06-21,@TheGledinator @teslaownersSV @mattie_rogers @aikatchu @Tesla Haha Teslas all the way down,4,31,29,1164,0.014409326016902924
2020-06-21,"@teslaownersSV @mattie_rogers @aikatchu @Tesla Maybe, will look into it. We’d need to emulate a TV.",3,74,46,1337,0.05749230086803436
2020-06-21,"@mattie_rogers @aikatchu @Tesla We could probably make a fun punch (click) buggy game, with extra points for rare Teslas",9,42,56,1931,0.36681655049324036
2020-06-21,"@cleantechnica For example, we created a chip design team from scratch for the Tesla full self-driving computer, wh… https://t.co/jiZtSep19O",20,118,209,2691,0.00363136432133615
2020-06-21,"@cleantechnica Tesla should really be thought of as roughly a dozen technology startups, many of which have little… https://t.co/XqCOkleu0A",115,280,736,7950,0.005520291160792112
2020-06-21,@vincent13031925 @teslacn We are putting a lot of effort into improving the Tesla China experience with local engin… https://t.co/rgU7VJoMVy,11,106,103,2383,0.12344815582036972
