date,volume,formatted_date,pct_change_2_days,log_return_2_days,pct_change_3_days,log_return_3_days,pct_change_14_days,log_return_14_days,pct_change_7_days,log_return_7_days
1588858200,11527700,2020-05-07,0.015399417742352206,0.015282050104119094,0.02476378335523366,0.02446213076829018,0.03468672970707454,0.03409870428999984,0.01419798214663004,0.014098134775767157
1588944600,16130100,2020-05-08,0.04707503329536733,0.04600059435913906,0.06666148910099245,0.06453366715797149,0.09788841310518892,0.09338871051417019,0.023622425468992292,0.023347733493554124
1589203800,16519600,2020-05-11,0.04006204922859036,0.039280374093330295,0.03668627423644888,0.03602935139861696,0.181398550557184,0.16669894900450277,0.0376143926118957,0.036924224983932774
1589290200,15906900,2020-05-12,-0.012215950724663083,-0.012291178732920294,0.037651968771945654,0.0369604383209321,0.105585274229276,0.1003748546853993,0.15412361724574652,0.1433412830124574
1589376600,19065500,2020-05-13,-0.025058822201784126,-0.025378140267613425,-0.034731891151664085,-0.03534938322813552,0.12092735149100964,0.11415633511307988,0.0391097787226109,0.03836436459400705
1589463000,13682200,2020-05-14,-0.007511665222466157,-0.00754001986262498,-0.009811505641477036,-0.009859955635023177,0.10781218864042441,0.10238706912036122,0.045716680031009815,0.04470246856242621
1589549400,10518400,2020-05-15,0.01037978075426027,0.010326280723930381,-0.012651215715868025,-0.012731923771284848,0.0005258193038439885,0.0005256811093152791,0.02119906608212796,0.020977491854933916
1589808600,11698100,2020-05-18,0.012821614740507137,0.012740113748478166,0.028661351671042556,0.028258298381068414,0.05787128472246339,0.05625866698255244,0.04306191034160323,0.042160532206785284
1589895000,9636500,2020-05-19,0.011061509911186596,0.011000778851500748,0.005825779172559331,0.00580887494284088,0.009369026952249948,0.00932540984084973,-0.013924468790542432,-0.014022323652704394
1589981400,7309300,2020-05-20,0.0023720953740435924,0.0023692863970428135,0.02050877714028454,0.020301304054180846,0.04307561343596156,0.04217366949443058,0.005263246985538483,0.005249444510497803
1590067800,12254600,2020-05-21,0.024244744163042675,0.02395550603118224,0.017170005919689313,0.017024267225544953,0.1800604242096302,0.16556564412385555,0.022473161952772713,0.02222436111139814
1590154200,9987500,2020-05-22,0.0016185661946985785,0.001617257728137922,0.010977599412468342,0.01091778293081802,0.07316175991548612,0.0706092071002562,0.032770340429993494,0.03224484250624915
1590499800,40448500,2020-05-26,-0.010548587193071501,-0.010604617917277182,0.004058576716969187,0.004050362911224958,0.06594553505473488,0.06386223161917215,0.019344489200578963,0.019159763056745938
1590586200,57747500,2020-05-27,0.004100958157319257,0.0040925721477131916,-0.008905262115696644,-0.008945150952651026,0.048110087582341476,0.046988625784965876,0.02635237574536653,0.02601113393003196
1590672600,36278000,2020-05-28,-0.01594880431950041,-0.016077355152710915,-0.013551589099104255,-0.013644249969623878,0.03303681287619309,0.03250282636234214,-0.009611219972673557,-0.009657705844443143
1590759000,59062500,2020-05-29,0.018007111764119843,0.017846904119764417,0.019697863421103357,0.019506371084390572,0.019013431838322603,0.018834935545591236,0.033403019937494616,0.03285725919829563
1591018200,74697500,2020-06-01,0.11453067261584149,0.10843339487902437,0.09493672122355301,0.0906965727616873,0.10700242812030392,0.10165584714803622,0.10120650629558825,0.09640640263753841
1591104600,67828000,2020-06-02,0.05576045784407757,0.054261320389369594,0.0940047508439048,0.08984504662647108,0.08913895515538117,0.08538743466788112,0.06520053110762003,0.06316307355648298
1591191000,39747500,2020-06-03,-0.01685781071285608,-0.017001520987141916,0.057437097241064716,0.055848147654780966,0.11631431260936465,0.11003246642850772,0.08089307845981275,0.07778762392225858
1591277400,44438500,2020-06-04,-0.019488120200959247,-0.019680517356880145,-0.03754586471683996,-0.03826886560943343,0.07599620757370285,0.07324693717362596,0.05557661710375572,0.05408717411688002
1591363800,39059500,2020-06-05,0.0030579446378089514,0.0030532786349377616,0.004650887861762598,0.004640105900349134,0.1082248094274294,0.1027594643395151,0.07977029684625103,0.07674833040948315
1591623000,70873500,2020-06-08,0.09896102263786499,0.09436520858495889,0.07583581731930322,0.07309786396266738,0.16750854782322255,0.15487203201010669,0.17883862516193805,0.16452973785454983
1591709400,56941000,2020-06-09,0.0621118638434881,0.060259250458554625,0.08825976411174907,0.0845798737157839,0.1641811169351668,0.15201793594656898,0.12655091428471188,0.11916067674827335
1591795800,92817000,2020-06-10,0.07909087864377451,0.07611890760766471,0.157385396919143,0.14616349293539432,0.25686641767951013,0.22862165322072858,0.14135396993571625,0.13221525058319017
1591882200,79582500,2020-06-11,0.03419897725383336,0.03362719205456166,0.024128346544408208,0.023841857185386672,0.17549533676778983,0.1616896219699484,0.10354370133995583,0.09852654841346542
1591968600,83817000,2020-06-12,-0.08757619253717841,-0.09165069568257955,-0.005729973924433529,-0.005746453205739854,0.14494167839574268,0.1353536998100111,0.059255259574049646,0.05756607588775253
1592227800,78486000,2020-06-15,0.018564201917183,0.018393990453756004,-0.03331545785113876,-0.033883059968522034,0.2100821263730781,0.1906882303409816,0.1463707198187545,0.13660105622410157
1592314200,70255500,2020-06-16,0.050091925035374185,0.04887770799009772,0.009549369753830472,0.009504062729796203,0.19738359111439685,0.18013883565239563,0.1089243653133134,0.10339050524291249
1592400600,49454000,2020-06-17,0.0008982189917341454,0.0008978158344534748,0.06042041938176834,0.058665451548510994,0.2307988145708073,0.20766340132814598,0.04407744054172946,0.04313366347359615
1592487000,48759500,2020-06-18,0.022227264655393597,0.021983839521667825,0.013180012448486655,0.013093911797708024,0.2023473499777788,0.18427577105429904,0.06728185537996123,0.06511509430602569
1592573400,43398500,2020-06-19,0.009185366615408697,0.009143437694907774,0.019111512227089067,0.01893118125332105,0.1144638576856658,0.10837344414402938,-0.02355983591274924,-0.023841806439160784
1592832600,31812000,2020-06-22,-0.009602020806126266,-0.009648417447794877,0.002550926606146753,0.0025476785154596726,0.127909628419677,0.12036603321713457,0.022079711977092575,0.02183948480366915
1592919000,31826500,2020-06-23,0.000879259357956963,0.0008788730358828545,-0.0021714242723954724,-0.0021737852324639206,0.13457012893569953,0.12625383816705416,0.0711017185715328,0.06868776227930162
1593005400,54798000,2020-06-24,-0.0336611970872458,-0.03424077860723074,-0.04001396143424385,-0.04083653778667884,0.1116059505002911,0.10580577196678398,-0.030325939695982185,-0.03079528425731759
1593091800,46272500,2020-06-25,-0.015771944028767804,-0.015897644584650372,-0.008387638189358504,-0.008423012369319416,0.11327142996572426,0.10730291494746602,0.003920073170349037,0.003912409704553532
1593178200,44274500,2020-06-26,-0.0011552277888619011,-0.0011558955788331104,-0.041965324936211634,-0.042871306401394804,0.010337736775117401,0.010284667802991976,-0.032315326868001204,-0.032848995670604175
1593437400,45132000,2020-06-29,0.02370228600951907,0.023425748026490112,0.05047612551733738,0.04924351426440143,0.07301174819843381,0.07046941251540151,0.005368678188980125,0.005354318209375819
1593523800,84592500,2020-06-30,0.12510684046048248,0.11787800044529195,0.0951642353346096,0.09090433862854752,0.05342183991928873,0.05204376064061922,0.07883911238329522,0.07588556707978
1593610200,66634500,2020-07-01,0.10925843507875288,0.10369171555606282,0.16659718856959693,0.15409112539929737,0.15088813546136182,0.14053393601690267,0.12602580989999734,0.11869445121323352
1593696600,86250500,2020-07-02,0.11932649421484176,0.11272715997587657,0.19746371662900408,0.18020575057793398,0.29229746677149393,0.25642161629907534,0.20651236419913244,0.18773385401977372
1594042200,102849500,2020-07-06,0.22502976787936446,0.2029651440111282,0.27020495452434146,0.2391782689651336,0.3841761008148801,0.32510508957427486,0.42746532827835493,0.35590037383159245
1594128600,107448500,2020-07-07,0.14991805404166159,0.1396906824811559,0.2413564803893149,0.21620471750302706,0.41514866727766253,0.3472345907901335,0.409622842592106,0.34332218108558
1594215000,81556500,2020-07-08,-0.004155844387012442,-0.004164503908373085,0.13007794145086882,0.12228660508088396,0.3771866651178999,0.3200427698314483,0.42317709823853145,0.3528917655020525
